Genus	Species	Strain	Name	acid phosphatase	aesculin hydrolysis	alkaline phosphatase	alpha-galactosidase	arylsulfatase	catalase positive	gelatinase	H2S production	indole production	methane production	nitrate reduction to nitrite	oxidase positive	pyrazinamidase	tellurite reductase	urease positive
Mycobacterium	paragordonae	(49061T	Mycobacterium paragordonae	NA	NA	NA	NA	yes	yes	NA	NA	NA	NA	NA	NA	NA	yes	yes
Williamsia	sterculiae	CPCC 203464	Williamsia sterculiae	yes	NA	yes	NA	NA	yes	yes	NA	NA	NA	yes	NA	NA	NA	yes
Gracilimonas	mengyeensis	YIM J14	Gracilimonas mengyeensis	yes	yes	yes	yes	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	yes
Taibaiella 	smilacinae	PTJT-5	Taibaiella smilacinae	yes	NA	yes	yes	NA	yes	yes	NA	NA	NA	yes	yes	NA	NA	NA
Parapedobacter	pyrenivorans	P-4	Parapedobacter pyrenivorans	yes	yes	yes	yes	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA
Marininema	halotolerans	YIM M11385	Marininema halotolerans	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gracilimonas	rosea	CL-KR2	Gracilimonas rosea	yes	yes	yes	NA	NA	yes	yes	NA	NA	NA	NA	yes	NA	NA	NA
Arthrobacter	echigonensis	 LC10T	Arthrobacter echigonensis	yes	NA	yes	NA	NA	yes	NA	NA	NA	NA	NA	NA	yes	NA	NA
Lacibacter	daechungensis	H32-4	Lacibacter daechungensis	yes	yes	yes	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA
Streptomonospora	sediminis	YIM M11335	Streptomonospora sediminis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA
Streptomonospora	nanhaiensis	12A09	Streptomonospora nanhaiensis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA
Rothia	endophytica	YIM 67072	Rothia endophytica	yes	NA	NA	yes	NA	yes	yes	NA	NA	NA	yes	NA	yes	NA	NA
Formosa	undariae	WS-MY3	Formosa undariae	yes	yes	yes	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Kurtzmanomyces	shapotouensis	CPCC 300020	Kurtzmanomyces shapotouensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes
Sphingobacterium	changzhouense	N7	Sphingobacterium changzhouense	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	yes
Arthrobacter	albidus	LC13T	Arthrobacter albidus	NA	NA	yes	NA	NA	yes	NA	NA	NA	NA	NA	NA	yes	NA	yes
Nocardioides	endophyticus	MWE 3-5	Nocardioides endophyticus	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA	yes	yes	NA	NA	NA
Nocardioides	conyzicola	HWE 2-02	Nocardioides conyzicola	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA	yes	yes	NA	NA	NA
Pontibacter	toksunensis	ZLD-7	Pontibacter toksunensis	yes	yes	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Algibacter	wandonensis	WS-MY22	Algibacter wandonensis	yes	yes	yes	NA	NA	yes	yes	NA	NA	NA	NA	yes	NA	NA	NA
Rehaibacterium	terrae	YIM 77974	Rehaibacterium terrae	yes	NA	yes	NA	NA	yes	yes	NA	NA	NA	yes	yes	NA	NA	NA
Amycolatopsis	echigonensis	LC2T	Amycolatopsis echigonensis	yes	NA	yes	yes	NA	yes	yes	NA	NA	NA	yes	NA	yes	NA	yes
Magnetovibrio	blakemorei	MV-1	Magnetovibrio blakemorei	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA
Thermoanaerobacter	pseudethanolicus	39ET	Thermoanaerobacter pseudethanolicus	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA
Brevundimonas	halotolerans	MCS24	Brevundimonas halotolerans	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA
Amycolatopsis	niigatensis	LC11T	Amycolatopsis niigatensis	yes	NA	yes	NA	NA	yes	yes	NA	NA	NA	NA	NA	yes	NA	yes
Bradyrhizobium	diazoefficiens	USDA110	Bradyrhizobium diazoefficiens	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brucella	inopinata	BO1	Brucella inopinata	yes	NA	yes	NA	NA	yes	NA	yes	NA	NA	yes	yes	NA	NA	yes
Acinetobacter	bereziniae	LMG 1003	Acinetobacter bereziniae	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acinetobacter	guillouiae	LMG 988	Acinetobacter guillouiae	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Spongiispira	norvegica	Gp_4_7.1	Spongiispira norvegica	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA
Geotrichum	ghanense	G6	Geotrichum ghanense	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hymenobacter	soli	PB17	Hymenobacter soli	yes	NA	yes	yes	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Brucella	microti	CCM 4915	Brucella microti	yes	NA	yes	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	yes
Sporidiobolus	metaroseus	CBS 7683	Sporidiobolus metaroseus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes
Rhodopirellula	baltica	SH 1T 	Rhodopirellula baltica	NA	yes	NA	NA	NA	yes	NA	yes	NA	NA	NA	NA	NA	NA	NA
Flammeovirga	kamogawensis	YS10T	Flammeovirga kamogawensis	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA
Cryptococcus	spencermartinsiae	CRUB 1230	Cryptococcus spencermartinsiae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes
Rhodotorula	arctica	Pro94 Y56	Rhodotorula arctica	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes
Trichosporon	chiarelli	FCP 540806	Trichosporon chiarelli	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes
Candida	halmiae	G3	Candida halmiae	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sulfurimonas	paralvinellae	GO25	Sulfurimonas paralvinellae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA
Ogataea	nakhonphanomensis	S051	Ogataea nakhonphanomensis	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA
Kurtzmaniella	cleridarum	UWOPS 99-101.1	Kurtzmaniella cleridarum	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA
Methylobacterium	komagatae	002-079	Methylobacterium komagatae	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Lysinibacillus	macroides	LMG 18474	Lysinibacillus macroides	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
