Genus	Species	Strain	Name	acid phosphatase	aesculin hydrolysis	alkaline phosphatase	alpha-galactosidase	arylsulfatase	catalase positive	gelatinase	H2S production	indole production	methane production	nitrate reduction to nitrite	oxidase positive	pyrazinamidase	tellurite reductase	urease positive
Pseudomonas	cuatrocienegasensis	1NT	Pseudomonas cuatrocienegasensis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Massilia	niastensis	5516S-1T	Massilia niastensis	yes	yes	yes	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Massilia	niabensis	5420S-26T	Massilia niabensis	yes	NA	yes	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Streptomyces	atriruber	NRRL B-24165T	Streptomyces atriruber	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	yes	NA	NA	NA	yes
Streptomyces	silaceus	NRRL B-24166T	Streptomyces silaceus	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	yes	NA	NA	NA	yes
Glycomyces	mayteni	YIM 61331T	Glycomyces mayteni	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	yes	NA	NA	NA	yes
Alishewanella	jeotgali	MS1T	Alishewanella jeotgali	yes	yes	yes	NA	NA	yes	yes	NA	NA	NA	yes	yes	NA	NA	NA
Carnobacterium	jeotgali	MS3T	Carnobacterium jeotgali	yes	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Thalassobacillus	hwangdonensis	AD-1	Thalassobacillus hwangdonensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA
Maribaculum	marinum	P38T	Maribaculum marinum	yes	NA	yes	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Halomonas	Halomonas xinjiangensis	TRM 0175	Halomonas xinjiangensis	NA	NA	NA	NA	NA	yes	NA	yes	NA	NA	yes	NA	NA	NA	NA
Halomonas	xinjiangensis	TRM 0175	Halomonas xinjiangensis	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA
Pseudorhodoferax	soli	TBEA3T	Pseudorhodoferax soli	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Anoxybacillus	voinovskiensis	TH13T	Anoxybacillus voinovskiensis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Desertibacter	roseus	2622T	Desertibacter roseus	NA	yes	yes	NA	NA	yes	yes	NA	NA	NA	yes	yes	NA	NA	yes
Lysobacter	xinjiangensis	Lysobacter xinjiangensis	Lysobacter xinjiangensis	yes	yes	yes	NA	NA	yes	yes	NA	NA	NA	NA	yes	NA	NA	NA
Lysobacter	xinjiangensis	RCML-52T	Lysobacter xinjiangensis	yes	yes	yes	NA	NA	yes	yes	NA	NA	NA	NA	yes	NA	NA	NA
Mycobacterium 	vulneris	NLA000700772T	Mycobacterium vulneris	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Zhihengliuella	alba	YIM 90734T	Zhihengliuella alba	yes	yes	NA	NA	NA	yes	yes	NA	NA	NA	NA	NA	NA	NA	NA
Isoptericola	jiangsuensis	CLG	Isoptericola jiangsuensis	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA
Flavihumibacter	petaseus	T41	Flavihumibacter petaseus	NA	NA	NA	NA	NA	yes	yes	yes	NA	NA	NA	yes	NA	NA	NA
Bacillus	Bacillus horneckiae	1P01SC	Bacillus horneckiae	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA
Saccharibacter	floricola	S-877T	Saccharibacter floricola	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacillus	horneckiae	1P01SC	Bacillus horneckiae	NA	NA	yes	NA	NA	yes	yes	NA	NA	NA	yes	NA	NA	NA	NA
Brevibacterium	massiliense	5401308T	Brevibacterium massiliense	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	yes	NA	NA
Chryseobacterium	piscicola	VQ-6316sT	Chryseobacterium piscicola	yes	yes	yes	NA	NA	yes	yes	NA	NA	NA	NA	yes	NA	NA	NA
Verrucosispora	sediminis	MS426	Verrucosispora sediminis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA
Castellaniella	ginsengisoli	DCY36T	Castellaniella ginsengisoli	yes	NA	yes	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Alkalibacillus	Alkalibacillus flavidus	ISL-17	Alkalibacillus flavidus	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Alkalibacillus	flavidus	ISL-17	Alkalibacillus flavidus	NA	NA	yes	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Marinimicrobium	locisalis	ISL-43T	Marinimicrobium locisalis	NA	yes	yes	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Jeotgalibacillus	salarius	ASL-1	Jeotgalibacillus salarius	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Dyella	japonica	 XD53T	Dyella japonica	yes	NA	yes	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA
Psychroflexus	salinarum	ISL-14T	Psychroflexus salinarum	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	yes	yes	NA	NA	NA
Niastella	populi	THYL-44	Niastella populi	yes	yes	yes	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA
Parasegetibacter	luojiensis	RHYL-37T	Parasegetibacter luojiensis	yes	yes	yes	yes	NA	yes	yes	NA	NA	NA	NA	yes	NA	NA	NA
Sediminimonas	qiaohouensis	YIM B024T	Sediminimonas qiaohouensis	yes	yes	yes	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	yes
Fodinibacter	luteus	YIM C003T	Fodinibacter luteus	yes	yes	yes	NA	NA	yes	yes	NA	NA	NA	yes	yes	NA	NA	NA
Salinarimonas	rosea	YIM YD3	Salinarimonas rosea	yes	yes	yes	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	yes
Salinarimonas	Salinarimonas rosea	YIMYD3	Salinarimonas rosea	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	yes
Halogranum	Halogranum rubrum	RO2-11	Halogranum rubrum	NA	NA	NA	NA	NA	yes	NA	yes	NA	NA	yes	yes	NA	NA	NA
Halogranum	rubrum	 RO2-11	Halogranum rubrum	NA	NA	NA	NA	NA	yes	yes	yes	NA	NA	yes	yes	NA	NA	NA
Halopelagius	inordinatus	RO5-2	Halopelagius inordinatus	NA	NA	NA	NA	NA	yes	NA	NA	yes	NA	NA	yes	NA	NA	NA
Haladaptatus	Haladaptatus litoreus	RO1-28	Haladaptatus litoreus	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Haladaptatus	litoreus	ROI-28	Haladaptatus litoreus	NA	NA	NA	NA	NA	yes	yes	NA	yes	NA	yes	yes	NA	NA	NA
Halogeometricum	rufum	 RO1-4	Halogeometricum rufum	NA	NA	NA	NA	NA	yes	NA	yes	yes	NA	NA	yes	NA	NA	NA
Muricauda	olearia	CL-SS4T	Muricauda olearia	yes	NA	yes	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Staphylococcus 	Staphylococcus microti	4005-LJ(m)	Staphylococcus microti	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Delftia	lacustris	332T	Delftia lacustris	yes	NA	yes	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Pseudomonas	pelagia	CL-AP6T	Pseudomonas pelagia	yes	NA	yes	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA
Alishewanella	agri	BL06	Alishewanella agri	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Cobetia 	Cobetia crustatorum	JO1	Cobetia crustatorum	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cobetia	crustatorum	JO1	Cobetia crustatorum	yes	NA	yes	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Methylobacterium	Gossipiicola	Gh-105	Methylobacterium gossipiicola	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	yes
Leifsonia	Leifsonia soli	TG-S248	Leifsonia soli	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Leifsonia	soli	TG-S248	Leifsonia soli	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Microbacterium	azadirachtae	AI-S262	Microbacterium azadirachtae	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Microbacterium	azadirachtae	Al-S262	Microbacterium azadirachtae	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pseudonocardia	acaciae	GMKU095T	Pseudonocardia acaciae	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	yes
Flavobacterium	chungangense	CJ7T	Flavobacterium chungangense	yes	yes	yes	NA	NA	yes	yes	NA	NA	NA	NA	yes	NA	NA	NA
Streptomyces	sedi	YIM65188T	Streptomyces sedi	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacillus	neizhouensis	JSM 071004T	Bacillus neizhouensis	NA	yes	yes	NA	NA	yes	yes	NA	NA	NA	yes	yes	NA	NA	NA
Galbibacter	marinus	ck-I2-15	Galbibacter marinus	yes	yes	yes	yes	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Citreicella	marina	CK-I3-6T 	Citreicella marina	NA	yes	NA	NA	NA	yes	yes	NA	NA	NA	NA	yes	NA	NA	NA
Halosarcina	limi	RO1-6	Halosarcina limi	NA	NA	NA	NA	NA	yes	NA	yes	NA	NA	yes	yes	NA	NA	NA
Haloplanus	vescus	RO5-8	Haloplanus vescus	NA	NA	NA	NA	NA	yes	NA	NA	yes	NA	yes	yes	NA	NA	NA
Brachybacterium	saurashtrense	Brachybacterium saurashtrense	Brachybacterium saurashtrense	NA	NA	NA	NA	NA	yes	NA	NA	yes	NA	yes	NA	NA	NA	NA
Paenibacillus	rigui	WPCB173T	Paenibacillus rigui	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Bacillus	rigui	WPCBO74	Bacillus rigui	NA	NA	yes	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Psychrobacter	aestuarii	SC35	Psychrobacter aestuarii	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Tersicoccus	phoenicis	1P05MA	Tersicoccus phoenicis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	yes	yes	NA	NA
Propionibacterium	acidifaciens	C3M_31T	Propionibacterium acidifaciens	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Corynebacterium	doosanense	CAU212T	Corynebacterium doosanense	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	yes	yes	NA	NA
Chryseobacterium	angstadtii	KM	Chryseobacterium angstadtii	yes	yes	yes	yes	NA	yes	yes	NA	yes	NA	NA	yes	NA	NA	NA
Arenibacter 	Arenibacter nanhaiticus	NH36A	Arenibacter nanhaiticus	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Arenibacter	nanhaiticus	NH36A	Arenibacter nanhaiticus	yes	NA	yes	yes	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Vibrio	porteresiae	MSSRF30	Vibrio porteresiae	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Cohnella	xylanilytica	MX15-2	Cohnella xylanilytica	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Cohnella	terrae	MX21-2	Cohnella terrae	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Pontibacter	Pontibacter xinjiangensis	311-10	Pontibacter xinjiangensis	NA	NA	NA	NA	NA	yes	NA	yes	yes	NA	yes	NA	NA	NA	NA
Vibrio	atypicus	HHS02	Vibrio atypicus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	yes	NA	NA	yes
Epilithonimonas	tenax	EP105	Epilithonimonas tenax	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Salegentibacter	holothuriorum	KMM 3524T	Salegentibacter holothuriorum	NA	NA	yes	NA	NA	yes	yes	yes	NA	NA	NA	yes	NA	NA	NA
Celerinatantimonas	yamalensis	C7	Celerinatantimonas yamalensis	yes	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA
Shewanella	corallii	fav-2-10-05	Shewanella corallii	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Mycobacterium	mantenii	04-1474T	Mycobacterium mantenii	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	yes
Sphingobacterium	psychroaquaticum	MOL-1	Sphingobacterium psychroaquaticum	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA	NA	NA	NA	NA	NA
Nonomuraea	antimicrobica	YIM61105T	Nonomuraea antimicrobica	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Actinomadura	flavalba	YIM 61435T	Actinomadura flavalba	NA	yes	yes	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA
Jiangella	alba	YIM61503T	Jiangella alba	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA
Corynebacterium	freiburgense	1045T	Corynebacterium freiburgense	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA
Methylobacterium	marchantiae	JT1T	Methylobacterium marchantiae	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	yes
Jeotgalicoccus	Jeotgalicoccus huakuii	NY-2	Jeotgalicoccus huakuii	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Thiovirga	sulfuroxydans	SO07T	Thiovirga sulfuroxydans	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Jeotgalicoccus	huakuii	NY-2	Jeotgalicoccus huakuii	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Aliagarivorans	marinus	AAM1T 	Aliagarivorans marinus	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA
Aliagarivorans	taiwanensis	AAT1T	Aliagarivorans taiwanensis	yes	NA	yes	yes	NA	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA
Lysinibacillus	sinduriensis	BLB-1	Lysinibacillus sinduriensis	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA	NA	NA	NA	NA	NA
Rheinheimera	nanhaiensis	E407-8T	Rheinheimera nanhaiensis	yes	yes	yes	NA	NA	yes	yes	NA	NA	NA	yes	yes	NA	NA	NA
Ferruginibacter	alkalilentus	HU1-GD23T	Ferruginibacter alkalilentus	NA	yes	NA	NA	NA	yes	yes	NA	NA	NA	NA	yes	NA	NA	yes
Sphingobium	vulgare	 HU1-GD12	Sphingobium vulgare	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Hoyosella	altamirensis	OFN S31T	Hoyosella altamirensis	NA	yes	yes	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	yes
Hydrogenivirga	caldilitoris	IBSK3T	Hydrogenivirga caldilitoris	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA
Parvibaculum	indicum	Parvibaculum indicum	Parvibaculum indicum	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Parvibaculum	indicum	P31T	Parvibaculum indicum	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Salinicoccus	carnicancri	Crm	Salinicoccus carnicancri	yes	NA	yes	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Salinicoccus 	Salinicoccus carnicancri	Crm	Salinicoccus carnicancri	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	yes
Lentibacillus	Lentibacillus jeotgali	 Grbi	Lentibacillus jeotgali	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA
Lentibacillus 	Lentibacillus jeotgali	Grbi	Lentibacillus jeotgali	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lentibacillus	jeotgali	Grbi	Lentibacillus jeotgali	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA
Gracilibacillus	Gracilibacillus thailandensis	TP2-8	Gracilibacillus thailandensis	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Gracilibacillus	thailandensis	TP2-8	Gracilibacillus thailandensis	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Corynebacterium	Corynebacterium pyruviciproducens	06-1773O	Corynebacterium pyruviciproducens	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cupriavidus	pinatubonensis	1245	Cupriavidus pinatubonensis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	yes
Corynebacterium	pyruviciproducens	06-1773O	Corynebacterium pyruviciproducens	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA
Sphingomonas	hankookensis	ODN7T 	Sphingomonas hankookensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA
Marinobacter	Antarcticus	ZS2-30	Marinobacter antarcticus	yes	NA	yes	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Vagococcus	acidifermentans	AC-1T	Vagococcus acidifermentans	yes	yes	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Plantactinospora	mayteni	YIM 61359T	Plantactinospora mayteni	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	yes	NA	NA	NA	NA
Promicromonospora	xylanilytica	YIM 61515	Promicromonospora xylanilytica	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Micrococcus	yunnanensis	YIM 65004T	Micrococcus yunnanensis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Herbidospora	osyris	YIM 65070T	Herbidospora osyris	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	yes
Kineospora	mesophilia	YIM 65293T	Kineospora mesophilia	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	yes
Jannaschia	cystaugens	CFPB-A9T 	Jannaschia cystaugens	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Saccharopolyspora	tripterygii	YIM 65359T	Saccharopolyspora tripterygii	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	yes
Marinococcus 	luteus	YIM91094T	Marinococcus luteus	NA	yes	yes	yes	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aeromonas	sanarellii	A2-67	Aeromonas sanarellii	NA	yes	NA	NA	NA	yes	NA	NA	yes	NA	yes	yes	NA	NA	NA
Aeromonas	Aeromonas fluvialis	717	Aeromonas fluvialis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Aeromonas	fluvialis	717	Aeromonas fluvialis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Henriciella	litoralis 	SD10T	Henriciella litoralis	yes	yes	yes	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Marinobacterium	lutimaris	AN9	Marinobacterium lutimaris	yes	NA	yes	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Hwanghaeicola	aestuarii	Y26	Hwanghaeicola aestuarii	NA	yes	NA	NA	NA	yes	NA	NA	yes	NA	NA	yes	NA	NA	NA
Algoriphagus	olei	CC-Hsuan-617T 	Algoriphagus olei	yes	yes	yes	NA	NA	yes	NA	NA	yes	NA	NA	yes	NA	NA	NA
Leisingera	nanhaiensis	NH52F	Leisingera nanhaiensis	yes	NA	yes	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Zobellia	amurskyensis	KMM 3526T	Zobellia amurskyensis	NA	NA	yes	NA	NA	yes	yes	NA	NA	NA	yes	yes	NA	NA	NA
Leisingera 	Leisingera nanhaiensis	NH52F	Leisingera nanhaiensis	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Micromonospora	rhizosphaerae	Micromonospora rhizosphaerae	Micromonospora rhizosphaerae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA
Micromonospora	rhizosphaerae	211018	Micromonospora rhizosphaerae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA
Micromonospora	rhizosphaerae	211018T	Micromonospora rhizosphaerae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA
Microbispora	hainanensis	211020	Microbispora hainanensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA
Ferruginibacter	lapsinanis	HU1-HG42T	Ferruginibacter lapsinanis	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	yes
Salinihabitans	flavidus	ISL-46T	Salinihabitans flavidus	NA	NA	yes	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Planomicrobium	flavidum	ISL-41T	Planomicrobium flavidum	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Shimwellia	pseudoproteus	521	Shimwellia pseudoproteus	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA
Herbaspirillum	aquaticum	IEH 4430	Herbaspirillum aquaticum	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	yes
Zobellia	laminariae	KMM3676T	Zobellia laminariae	NA	NA	yes	NA	NA	yes	yes	NA	NA	NA	yes	yes	NA	NA	NA
Nonomuraea	monospora	 PT708	Nonomuraea monospora	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA
Endozoicomonas	montiporae	CL-33	Endozoicomonas montiporae	yes	yes	yes	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Deefgea	chitinilytica	Nsw-4	Deefgea chitinilytica	yes	NA	yes	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Deefgea 	chitinilytica	Nsw-4	Deefgea chitinilytica	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Formosa	spongicola	A2T	Formosa spongicola	NA	NA	yes	yes	NA	yes	yes	NA	NA	NA	yes	yes	NA	NA	NA
Aquimarina	spongiae	A6T	Aquimarina spongiae	yes	yes	yes	NA	NA	yes	yes	NA	NA	NA	NA	yes	NA	NA	NA
Spongiibacterium	flavum	A11	Spongiibacterium flavum	NA	yes	yes	yes	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	yes
Virgibacillus	Virgibacillus byunsanensis	ISL-24	Virgibacillus byunsanensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA
Salimicrobium	flavidum	ISL-25T	Salimicrobium flavidum	NA	NA	yes	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Fodinicurvata	sediminis	YIM D82T	Fodinicurvata sediminis	NA	yes	yes	NA	NA	yes	yes	NA	yes	NA	yes	yes	NA	NA	yes
Zobellia	russellii	KMM 3677T 	Zobellia russellii	NA	NA	yes	NA	NA	yes	yes	NA	NA	NA	yes	yes	NA	NA	NA
Fodinicurvata	fenggangensis	YIM D812T	Fodinicurvata fenggangensis	NA	NA	yes	NA	NA	NA	yes	NA	NA	NA	yes	yes	NA	NA	yes
Meridianimaribacter 	Meridianimaribacter flavus	NH57N	Meridianimaribacter flavus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA
Vagococcus	penaei	CD276	Vagococcus penaei	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sphingobium	Sphingobium faniae	JZ-2	Sphingobium faniae	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	yes
Pseudoruegeria	lutimaris	HD-43	Pseudoruegeria lutimaris	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Corynebacterium	Corynebacterium mustelae	3105	Corynebacterium mustelae	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Corynebacterium	mustelae	3105	Corynebacterium mustelae	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	yes	NA	NA
Saccharothrix	saharensis	SA152	Saccharothrix saharensis	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA
Gemmobacter	caeni	DCA-1	Gemmobacter caeni	NA	yes	yes	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Staphylococcus	devriesei	KS-SP-60	Staphylococcus devriesei	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	yes
Marinifilum	fragile	JC2469T	Marinifilum fragile	yes	NA	yes	NA	NA	NA	yes	NA	NA	NA	yes	yes	NA	NA	NA
Roseovarius	nanhaiticus	NH52J	Roseovarius nanhaiticus	NA	NA	yes	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Leeuwenhoekiella	palythoae	KMM 6264T	Leeuwenhoekiella palythoae	yes	yes	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aidingimonas	halophila	YIM 90637T	Aidingimonas halophila	yes	NA	yes	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	yes
Nonomuraea	jiangxiensis	FXJ1.102	Nonomuraea jiangxiensis	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA
Laceyella	sediminis	RHA1	Laceyella sediminis	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA
Nocardioides	caeni	MN8T	Nocardioides caeni	NA	yes	NA	NA	NA	NA	NA	yes	yes	NA	NA	yes	NA	NA	NA
Terrabacter	terrigena	ON10T	Terrabacter terrigena	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Corynebacterium	maris	 Coryn-1T 	Corynebacterium maris	NA	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA
Nocardioides	terrae	VA15T	Nocardioides terrae	yes	yes	yes	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA
Microbulbifer	thermotolerans	JAMB A94	Microbulbifer thermotolerans	NA	yes	NA	NA	NA	yes	yes	NA	NA	NA	yes	yes	NA	NA	NA
